
gamma	ort_gel_X	ort_gel_Y	ort_gel_Z	normort_gel	vnesh_ort_X	vnesh_ort_Y	vnesh_ort_Z	i_gelio	Omega_gelio	p_gelio	e_gelio	a_gelio	r_pi_gelio	r_a_gelio
7,1000	836989132,8699	185512477,5242	13236475765,4149	13264209602,3953	0,0631	0,0140	0,9979	3,7058	102,4972	8,8619	0,8601	34,0465	4,7643	63,3286
7,2000	843908655,2608	187183329,9470	13235777320,2111	13263974543,3882	0,0636	0,0141	0,9979	3,7366	102,5060	8,8616	0,8600	34,0213	4,7644	63,2783
7,3000	850826665,2248	188853821,9905	13235075154,1287	13263739522,3132	0,0641	0,0142	0,9978	3,7675	102,5148	8,8612	0,8599	33,9961	4,7645	63,2276
7,4000	857743141,6885	190523948,5662	13234369269,3066	13263504537,9589	0,0647	0,0144	0,9978	3,7984	102,5234	8,8609	0,8597	33,9706	4,7646	63,1767
7,5000	864658063,5831	192193704,5866	13233659667,8950	13263269589,0822	0,0652	0,0145	0,9978	3,8292	102,5318	8,8606	0,8596	33,9451	4,7647	63,1254
7,6000	871571409,8446	193863084,9654	13232946352,0556	13263034674,4081	0,0657	0,0146	0,9977	3,8601	102,5401	8,8603	0,8595	33,9193	4,7648	63,0738
7,7000	878483159,4137	195532084,6173	13232229323,9611	13262799792,6299	0,0662	0,0147	0,9977	3,8909	102,5483	8,8600	0,8594	33,8934	4,7649	63,0220
7,8000	885393291,2359	197200698,4582	13231508585,7958	13262564942,4094	0,0668	0,0149	0,9977	3,9218	102,5563	8,8597	0,8593	33,8674	4,7651	62,9698
7,9000	892301784,2620	198868921,4053	13230784139,7552	13262330122,3766	0,0673	0,0150	0,9976	3,9526	102,5643	8,8594	0,8592	33,8412	4,7652	62,9173
8,0000	899208617,4473	200536748,3769	13230055988,0461	13262095331,1299	0,0678	0,0151	0,9976	3,9835	102,5721	8,8590	0,8591	33,8149	4,7653	62,8645
8,1000	906113769,7524	202204174,2924	13229324132,8866	13261860567,2361	0,0683	0,0152	0,9975	4,0143	102,5797	8,8587	0,8590	33,7884	4,7654	62,8115
8,2000	913017220,1432	203871194,0727	13228588576,5059	13261625829,2305	0,0688	0,0154	0,9975	4,0451	102,5873	8,8584	0,8588	33,7618	4,7655	62,7581
8,3000	919918947,5904	205537802,6396	13227849321,1448	13261391115,6168	0,0694	0,0155	0,9975	4,0759	102,5948	8,8581	0,8587	33,7351	4,7657	62,7045
8,4000	926818931,0703	207203994,9165	13227106369,0551	13261156424,8672	0,0699	0,0156	0,9974	4,1068	102,6021	8,8578	0,8586	33,7082	4,7658	62,6505
8,5000	933717149,5642	208869765,8277	13226359722,5000	13260921755,4225	0,0704	0,0158	0,9974	4,1376	102,6093	8,8575	0,8585	33,6811	4,7659	62,5963
8,6000	940613582,0590	210535110,2991	13225609383,7539	13260687105,6919	0,0709	0,0159	0,9974	4,1684	102,6164	8,8572	0,8584	33,6539	4,7661	62,5418
8,7000	947508207,5470	212200023,2577	13224855355,1025	13260452474,0532	0,0715	0,0160	0,9973	4,1992	102,6234	8,8568	0,8583	33,6266	4,7662	62,4870
8,8000	954401005,0260	213864499,6320	13224097638,8427	13260217858,8530	0,0720	0,0161	0,9973	4,2300	102,6303	8,8565	0,8581	33,5991	4,7663	62,4319
8,9000	961291953,4992	215528534,3516	13223336237,2826	13259983258,4062	0,0725	0,0163	0,9972	4,2607	102,6371	8,8562	0,8580	33,5715	4,7665	62,3766
9,0000	968181031,9757	217192122,3475	13222571152,7416	13259748670,9968	0,0730	0,0164	0,9972	4,2915	102,6438	8,8559	0,8579	33,5438	4,7666	62,3209
9,1000	975068219,4701	218855258,5524	13221802387,5502	13259514094,8771	0,0735	0,0165	0,9972	4,3223	102,6505	8,8556	0,8578	33,5159	4,7668	62,2650
9,2000	981953495,0029	220517937,8998	13221029944,0503	13259279528,2684	0,0741	0,0166	0,9971	4,3531	102,6570	8,8553	0,8577	33,4879	4,7669	62,2088
9,3000	988836837,6003	222180155,3250	13220253824,5948	13259044969,3607	0,0746	0,0168	0,9971	4,3838	102,6634	8,8550	0,8575	33,4597	4,7671	62,1524
9,4000	995718226,2945	223841905,7647	13219474031,5479	13258810416,3127	0,0751	0,0169	0,9970	4,4146	102,6697	8,8547	0,8574	33,4314	4,7672	62,0956
9,5000	1002597640,1236	225503184,1568	13218690567,2851	13258575867,2520	0,0756	0,0170	0,9970	4,4453	102,6760	8,8543	0,8573	33,4030	4,7674	62,0386
9,6000	1009475058,1316	227163985,4407	13217903434,1929	13258341320,2753	0,0761	0,0171	0,9970	4,4761	102,6821	8,8540	0,8572	33,3744	4,7675	61,9814
