
gamma	V_grav_X_inf	V_grav_Y_inf	V_grav_Z_inf	V_grav_inf	i_gip	ortX	ortY	ortZ	normort	V_grav_gel_X	V_grav_gel_Y	V_grav_gel_Z	V_grav_gel	dV_grav
7,3000	-4,8569	3,2003	0,8306	5,8754	8,1277	3,7140	-2,3730	30,8606	31,1737	-17,7216	0,7446	1,1286	17,7731	9,8894
7,4000	-4,8557	3,1996	0,8398	5,8754	8,2176	3,7417	-2,4193	30,8536	31,1737	-17,7205	0,7438	1,1378	17,7725	9,8889
7,5000	-4,8546	3,1988	0,8489	5,8754	8,3076	3,7695	-2,4656	30,8466	31,1737	-17,7194	0,7431	1,1470	17,7720	9,8883
7,6000	-4,8535	3,1981	0,8581	5,8754	8,3979	3,7972	-2,5119	30,8394	31,1737	-17,7182	0,7424	1,1561	17,7714	9,8878
7,7000	-4,8524	3,1973	0,8672	5,8754	8,4884	3,8249	-2,5581	30,8322	31,1737	-17,7171	0,7416	1,1653	17,7709	9,8872
7,8000	-4,8512	3,1966	0,8764	5,8754	8,5791	3,8526	-2,6044	30,8249	31,1737	-17,7160	0,7409	1,1744	17,7703	9,8866
7,9000	-4,8501	3,1958	0,8856	5,8754	8,6700	3,8803	-2,6506	30,8175	31,1737	-17,7148	0,7401	1,1836	17,7697	9,8861
8,0000	-4,8489	3,1950	0,8947	5,8754	8,7611	3,9080	-2,6968	30,8100	31,1737	-17,7137	0,7393	1,1927	17,7692	9,8855
8,1000	-4,8478	3,1942	0,9039	5,8754	8,8524	3,9357	-2,7430	30,8024	31,1737	-17,7125	0,7385	1,2019	17,7686	9,8849
8,2000	-4,8466	3,1934	0,9130	5,8754	8,9438	3,9633	-2,7893	30,7947	31,1737	-17,7113	0,7377	1,2110	17,7680	9,8843
8,3000	-4,8454	3,1925	0,9222	5,8754	9,0355	3,9910	-2,8355	30,7869	31,1737	-17,7101	0,7368	1,2202	17,7674	9,8837
8,4000	-4,8442	3,1917	0,9313	5,8754	9,1273	4,0186	-2,8817	30,7790	31,1737	-17,7090	0,7360	1,2293	17,7668	9,8831
8,5000	-4,8430	3,1908	0,9404	5,8754	9,2193	4,0463	-2,9279	30,7710	31,1737	-17,7078	0,7351	1,2385	17,7662	9,8826
8,6000	-4,8418	3,1899	0,9496	5,8754	9,3115	4,0739	-2,9740	30,7629	31,1737	-17,7065	0,7342	1,2476	17,7656	9,8820
8,7000	-4,8406	3,1890	0,9587	5,8754	9,4038	4,1015	-3,0202	30,7548	31,1737	-17,7053	0,7333	1,2567	17,7650	9,8814
8,8000	-4,8394	3,1881	0,9679	5,8754	9,4962	4,1291	-3,0664	30,7465	31,1737	-17,7041	0,7324	1,2659	17,7644	9,8807
8,9000	-4,8382	3,1872	0,9770	5,8754	9,5889	4,1566	-3,1125	30,7381	31,1737	-17,7029	0,7315	1,2750	17,7638	9,8801
9,0000	-4,8369	3,1863	0,9861	5,8754	9,6816	4,1842	-3,1587	30,7297	31,1737	-17,7016	0,7306	1,2841	17,7632	9,8795
9,1000	-4,8357	3,1854	0,9952	5,8754	9,7745	4,2118	-3,2048	30,7212	31,1737	-17,7004	0,7296	1,2933	17,7626	9,8789
9,2000	-4,8344	3,1844	1,0044	5,8754	9,8676	4,2393	-3,2509	30,7125	31,1737	-17,6991	0,7287	1,3024	17,7619	9,8783
9,3000	-4,8331	3,1834	1,0135	5,8754	9,9608	4,2668	-3,2970	30,7038	31,1737	-17,6979	0,7277	1,3115	17,7613	9,8776
9,4000	-4,8319	3,1824	1,0226	5,8754	10,0541	4,2943	-3,3431	30,6950	31,1737	-17,6966	0,7267	1,3206	17,7607	9,8770
9,5000	-4,8306	3,1814	1,0317	5,8754	10,1475	4,3218	-3,3892	30,6860	31,1737	-17,6953	0,7257	1,3298	17,7601	9,8764
9,6000	-4,8293	3,1804	1,0408	5,8754	10,2411	4,3493	-3,4353	30,6770	31,1737	-17,6940	0,7247	1,3389	17,7594	9,8757
9,7000	-4,8280	3,1794	1,0500	5,8754	10,3347	4,3768	-3,4814	30,6679	31,1737	-17,6927	0,7237	1,3480	17,7588	9,8751
9,8000	-4,8267	3,1784	1,0591	5,8754	10,4285	4,4042	-3,5274	30,6587	31,1737	-17,6914	0,7226	1,3571	17,7581	9,8744
9,9000	-4,8254	3,1773	1,0682	5,8754	10,5224	4,4317	-3,5735	30,6495	31,1737	-17,6901	0,7216	1,3662	17,7575	9,8738
10,0000	-4,8241	3,1762	1,0773	5,8754	10,6165	4,4591	-3,6195	30,6401	31,1737	-17,6888	0,7205	1,3753	17,7568	9,8731
10,1000	-4,8227	3,1751	1,0864	5,8754	10,7106	4,4865	-3,6656	30,6306	31,1737	-17,6875	0,7194	1,3844	17,7562	9,8725
10,2000	-4,8214	3,1741	1,0955	5,8754	10,8048	4,5140	-3,7116	30,6210	31,1737	-17,6861	0,7183	1,3935	17,7555	9,8718
10,3000	-4,8201	3,1729	1,1046	5,8754	10,8991	4,5413	-3,7576	30,6114	31,1737	-17,6848	0,7172	1,4026	17,7548	9,8711
10,4000	-4,8187	3,1718	1,1137	5,8754	10,9936	4,5687	-3,8036	30,6016	31,1737	-17,6834	0,7161	1,4117	17,7541	9,8705
10,5000	-4,8174	3,1707	1,1227	5,8754	11,0881	4,5961	-3,8496	30,5918	31,1737	-17,6821	0,7150	1,4208	17,7535	9,8698
10,6000	-4,8160	3,1695	1,1318	5,8754	11,1827	4,6234	-3,8955	30,5818	31,1737	-17,6807	0,7138	1,4299	17,7528	9,8691
10,7000	-4,8146	3,1684	1,1409	5,8754	11,2774	4,6508	-3,9415	30,5718	31,1737	-17,6793	0,7127	1,4389	17,7521	9,8684
10,8000	-4,8132	3,1672	1,1500	5,8754	11,3722	4,6781	-3,9874	30,5617	31,1737	-17,6779	0,7115	1,4480	17,7514	9,8677
10,9000	-4,8118	3,1660	1,1591	5,8754	11,4671	4,7054	-4,0334	30,5514	31,1737	-17,6766	0,7103	1,4571	17,7507	9,8671
11,0000	-4,8104	3,1648	1,1681	5,8754	11,5621	4,7327	-4,0793	30,5411	31,1737	-17,6752	0,7091	1,4662	17,7500	9,8664
11,1000	-4,8090	3,1636	1,1772	5,8754	11,6571	4,7600	-4,1252	30,5307	31,1737	-17,6737	0,7079	1,4752	17,7493	9,8657
11,2000	-4,8076	3,1623	1,1863	5,8754	11,7523	4,7872	-4,1711	30,5202	31,1737	-17,6723	0,7066	1,4843	17,7486	9,8649
11,3000	-4,8062	3,1611	1,1953	5,8754	11,8475	4,8145	-4,2170	30,5096	31,1737	-17,6709	0,7054	1,4934	17,7479	9,8642
11,4000	-4,8047	3,1598	1,2044	5,8754	11,9428	4,8417	-4,2629	30,4989	31,1737	-17,6695	0,7041	1,5024	17,7472	9,8635
11,5000	-4,8033	3,1586	1,2135	5,8754	12,0381	4,8689	-4,3087	30,4881	31,1737	-17,6680	0,7029	1,5115	17,7465	9,8628
11,6000	-4,8018	3,1573	1,2225	5,8754	12,1336	4,8961	-4,3546	30,4773	31,1737	-17,6666	0,7016	1,5206	17,7458	9,8621
11,7000	-4,8004	3,1560	1,2316	5,8754	12,2291	4,9233	-4,4004	30,4663	31,1737	-17,6651	0,7003	1,5296	17,7450	9,8614
11,8000	-4,7989	3,1547	1,2406	5,8754	12,3247	4,9505	-4,4462	30,4552	31,1737	-17,6636	0,6990	1,5387	17,7443	9,8606
11,9000	-4,7974	3,1533	1,2497	5,8754	12,4203	4,9777	-4,4920	30,4441	31,1737	-17,6622	0,6976	1,5477	17,7436	9,8599
12,0000	-4,7960	3,1520	1,2587	5,8754	12,5160	5,0048	-4,5378	30,4329	31,1737	-17,6607	0,6963	1,5567	17,7428	9,8592
12,1000	-4,7945	3,1506	1,2677	5,8754	12,6118	5,0319	-4,5836	30,4215	31,1737	-17,6592	0,6949	1,5658	17,7421	9,8584
12,2000	-4,7930	3,1493	1,2768	5,8754	12,7077	5,0591	-4,6294	30,4101	31,1737	-17,6577	0,6936	1,5748	17,7413	9,8577
12,3000	-4,7915	3,1479	1,2858	5,8754	12,8036	5,0862	-4,6751	30,3986	31,1737	-17,6562	0,6922	1,5838	17,7406	9,8569
12,4000	-4,7899	3,1465	1,2948	5,8754	12,8996	5,1132	-4,7209	30,3870	31,1737	-17,6547	0,6908	1,5929	17,7398	9,8562
12,5000	-4,7884	3,1451	1,3039	5,8754	12,9956	5,1403	-4,7666	30,3752	31,1737	-17,6532	0,6894	1,6019	17,7391	9,8554
12,6000	-4,7869	3,1437	1,3129	5,8754	13,0917	5,1674	-4,8123	30,3634	31,1737	-17,6516	0,6880	1,6109	17,7383	9,8547
12,7000	-4,7854	3,1422	1,3219	5,8754	13,1878	5,1944	-4,8580	30,3516	31,1737	-17,6501	0,6865	1,6199	17,7376	9,8539
12,8000	-4,7838	3,1408	1,3309	5,8754	13,2840	5,2214	-4,9037	30,3396	31,1737	-17,6485	0,6851	1,6290	17,7368	9,8531
12,9000	-4,7823	3,1393	1,3399	5,8754	13,3803	5,2484	-4,9493	30,3275	31,1737	-17,6470	0,6836	1,6380	17,7360	9,8523
13,0000	-4,7807	3,1378	1,3489	5,8754	13,4766	5,2754	-4,9950	30,3153	31,1737	-17,6454	0,6821	1,6470	17,7352	9,8516
13,1000	-4,7791	3,1363	1,3579	5,8754	13,5730	5,3024	-5,0406	30,3031	31,1737	-17,6438	0,6806	1,6560	17,7345	9,8508
13,2000	-4,7775	3,1348	1,3669	5,8754	13,6694	5,3293	-5,0862	30,2907	31,1737	-17,6423	0,6791	1,6650	17,7337	9,8500
13,3000	-4,7760	3,1333	1,3759	5,8754	13,7658	5,3563	-5,1318	30,2783	31,1737	-17,6407	0,6776	1,6740	17,7329	9,8492
13,4000	-4,7744	3,1318	1,3849	5,8754	13,8624	5,3832	-5,1774	30,2657	31,1737	-17,6391	0,6761	1,6830	17,7321	9,8484
13,5000	-4,7728	3,1302	1,3939	5,8754	13,9589	5,4101	-5,2230	30,2531	31,1737	-17,6375	0,6745	1,6920	17,7313	9,8476
13,6000	-4,7711	3,1287	1,4029	5,8754	14,0555	5,4370	-5,2685	30,2404	31,1737	-17,6359	0,6730	1,7009	17,7305	9,8468
13,7000	-4,7695	3,1271	1,4119	5,8754	14,1522	5,4639	-5,3141	30,2276	31,1737	-17,6343	0,6714	1,7099	17,7297	9,8460
13,8000	-4,7679	3,1255	1,4209	5,8754	14,2489	5,4907	-5,3596	30,2147	31,1737	-17,6326	0,6698	1,7189	17,7289	9,8452
13,9000	-4,7663	3,1239	1,4298	5,8754	14,3456	5,5176	-5,4051	30,2017	31,1737	-17,6310	0,6682	1,7279	17,7281	9,8444
14,0000	-4,7646	3,1223	1,4388	5,8754	14,4424	5,5444	-5,4506	30,1886	31,1737	-17,6293	0,6666	1,7368	17,7272	9,8436
14,1000	-4,7630	3,1207	1,4478	5,8754	14,5392	5,5712	-5,4961	30,1754	31,1737	-17,6277	0,6650	1,7458	17,7264	9,8427
14,2000	-4,7613	3,1191	1,4567	5,8754	14,6361	5,5980	-5,5415	30,1621	31,1737	-17,6260	0,6633	1,7548	17,7256	9,8419
14,3000	-4,7596	3,1174	1,4657	5,8754	14,7330	5,6248	-5,5870	30,1487	31,1737	-17,6244	0,6617	1,7637	17,7248	9,8411
14,4000	-4,7580	3,1157	1,4746	5,8754	14,8300	5,6515	-5,6324	30,1353	31,1737	-17,6227	0,6600	1,7727	17,7239	9,8402
14,5000	-4,7563	3,1141	1,4836	5,8754	14,9270	5,6783	-5,6778	30,1217	31,1737	-17,6210	0,6583	1,7816	17,7231	9,8394
14,6000	-4,7546	3,1124	1,4925	5,8754	15,0240	5,7050	-5,7232	30,1081	31,1737	-17,6193	0,6567	1,7906	17,7222	9,8386
14,7000	-4,7529	3,1107	1,5015	5,8754	15,1211	5,7317	-5,7686	30,0944	31,1737	-17,6176	0,6549	1,7995	17,7214	9,8377
14,8000	-4,7512	3,1089	1,5104	5,8754	15,2182	5,7584	-5,8139	30,0805	31,1737	-17,6159	0,6532	1,8085	17,7205	9,8369
14,9000	-4,7495	3,1072	1,5194	5,8754	15,3153	5,7851	-5,8592	30,0666	31,1737	-17,6142	0,6515	1,8174	17,7197	9,8360
15,0000	-4,7478	3,1055	1,5283	5,8754	15,4125	5,8117	-5,9046	30,0526	31,1737	-17,6125	0,6497	1,8263	17,7188	9,8352
15,1000	-4,7460	3,1037	1,5372	5,8754	15,5097	5,8383	-5,9499	30,0385	31,1737	-17,6108	0,6480	1,8352	17,7180	9,8343
15,2000	-4,7443	3,1019	1,5461	5,8754	15,6070	5,8650	-5,9951	30,0243	31,1737	-17,6090	0,6462	1,8442	17,7171	9,8334
15,3000	-4,7425	3,1001	1,5550	5,8754	15,7042	5,8916	-6,0404	30,0100	31,1737	-17,6073	0,6444	1,8531	17,7162	9,8326
15,4000	-4,7408	3,0983	1,5640	5,8754	15,8016	5,9181	-6,0857	29,9957	31,1737	-17,6055	0,6426	1,8620	17,7154	9,8317
15,5000	-4,7390	3,0965	1,5729	5,8754	15,8989	5,9447	-6,1309	29,9812	31,1737	-17,6038	0,6408	1,8709	17,7145	9,8308
15,6000	-4,7373	3,0947	1,5818	5,8754	15,9963	5,9712	-6,1761	29,9666	31,1737	-17,6020	0,6390	1,8798	17,7136	9,8299
15,7000	-4,7355	3,0928	1,5907	5,8754	16,0937	5,9978	-6,2213	29,9520	31,1737	-17,6002	0,6371	1,8887	17,7127	9,8290
15,8000	-4,7337	3,0910	1,5996	5,8754	16,1911	6,0243	-6,2664	29,9372	31,1737	-17,5984	0,6353	1,8976	17,7118	9,8282
15,9000	-4,7319	3,0891	1,6085	5,8754	16,2886	6,0508	-6,3116	29,9224	31,1737	-17,5966	0,6334	1,9065	17,7109	9,8273
16,0000	-4,7301	3,0872	1,6173	5,8754	16,3861	6,0772	-6,3567	29,9075	31,1737	-17,5948	0,6315	1,9154	17,7100	9,8264
16,1000	-4,7283	3,0853	1,6262	5,8754	16,4836	6,1037	-6,4018	29,8925	31,1737	-17,5930	0,6296	1,9243	17,7091	9,8255
16,2000	-4,7265	3,0834	1,6351	5,8754	16,5812	6,1301	-6,4469	29,8774	31,1737	-17,5912	0,6277	1,9331	17,7082	9,8246
16,3000	-4,7246	3,0815	1,6440	5,8754	16,6788	6,1565	-6,4920	29,8622	31,1737	-17,5894	0,6258	1,9420	17,7073	9,8236
16,4000	-4,7228	3,0796	1,6528	5,8754	16,7764	6,1829	-6,5371	29,8469	31,1737	-17,5875	0,6239	1,9509	17,7064	9,8227
16,5000	-4,7210	3,0776	1,6617	5,8754	16,8740	6,2093	-6,5821	29,8315	31,1737	-17,5857	0,6219	1,9597	17,7055	9,8218
16,6000	-4,7191	3,0757	1,6706	5,8754	16,9717	6,2357	-6,6271	29,8160	31,1737	-17,5838	0,6200	1,9686	17,7046	9,8209
16,7000	-4,7173	3,0737	1,6794	5,8754	17,0694	6,2620	-6,6721	29,8005	31,1737	-17,5820	0,6180	1,9775	17,7036	9,8200
16,8000	-4,7154	3,0717	1,6883	5,8754	17,1671	6,2883	-6,7171	29,7848	31,1737	-17,5801	0,6160	1,9863	17,7027	9,8190
16,9000	-4,7135	3,0697	1,6971	5,8754	17,2649	6,3146	-6,7620	29,7691	31,1737	-17,5783	0,6140	1,9951	17,7018	9,8181
17,0000	-4,7116	3,0677	1,7060	5,8754	17,3626	6,3409	-6,8070	29,7533	31,1737	-17,5764	0,6120	2,0040	17,7008	9,8172
17,1000	-4,7098	3,0657	1,7148	5,8754	17,4604	6,3672	-6,8519	29,7373	31,1737	-17,5745	0,6100	2,0128	17,6999	9,8162
17,2000	-4,7079	3,0636	1,7236	5,8754	17,5582	6,3934	-6,8968	29,7213	31,1737	-17,5726	0,6079	2,0217	17,6989	9,8153
17,3000	-4,7060	3,0616	1,7325	5,8754	17,6561	6,4197	-6,9416	29,7052	31,1737	-17,5707	0,6059	2,0305	17,6980	9,8143
17,4000	-4,7041	3,0595	1,7413	5,8754	17,7539	6,4459	-6,9865	29,6890	31,1737	-17,5688	0,6038	2,0393	17,6970	9,8134
