	IST       	p       	i       	omega      	e       	w       	S       	T       	W       	
           11.1	        9316.34	       0.911062	        0.15708	       0.414183	  -8.54046e-007	   1.91349e-009	  -4.84577e-009	              0
           11.2	        9316.34	       0.911062	        0.15708	       0.414183	  -7.00436e-007	   1.82548e-009	   -4.8796e-009	              0
           11.3	        9316.34	       0.911062	        0.15708	       0.414183	   -5.6931e-007	   1.72765e-009	  -4.91509e-009	              0
           11.4	        9316.34	       0.911062	        0.15708	       0.414183	   -4.5781e-007	   1.62109e-009	  -4.95126e-009	              0
           11.5	        9316.34	       0.911062	        0.15708	       0.414182	  -3.63394e-007	   1.50674e-009	  -4.98725e-009	              0
           11.6	        9316.33	       0.911062	        0.15708	       0.414182	  -2.83828e-007	   1.38549e-009	  -5.02228e-009	              0
           11.7	        9316.33	       0.911062	        0.15708	       0.414182	  -2.17182e-007	   1.25812e-009	  -5.05569e-009	              0
           11.8	        9316.33	       0.911062	        0.15708	       0.414182	  -1.61803e-007	   1.12538e-009	  -5.08689e-009	              0
           11.9	        9316.33	       0.911062	        0.15708	       0.414182	  -1.16296e-007	   9.87976e-010	  -5.11535e-009	              0
             12	        9316.33	       0.911062	        0.15708	       0.414182	  -7.95004e-008	   8.46567e-010	  -5.14064e-009	              0
           12.1	        9316.33	       0.911062	        0.15708	       0.414182	  -5.04691e-008	   7.01795e-010	   -5.1624e-009	              0
           12.2	        9316.33	       0.911062	        0.15708	       0.414182	  -2.84494e-008	   5.54278e-010	  -5.18032e-009	              0
           12.3	        9316.33	       0.911062	        0.15708	       0.414182	  -1.28675e-008	    4.0462e-010	  -5.19415e-009	              0
           12.4	        9316.33	       0.911062	        0.15708	       0.414181	  -3.31573e-009	   2.53414e-010	  -5.20372e-009	              0
           12.5	        9316.33	       0.911062	        0.15708	       0.414181	   4.56345e-010	   1.01244e-010	   -5.2089e-009	              0
           12.6	        9316.33	       0.911062	        0.15708	       0.414181	   -1.4522e-009	  -5.13099e-011	  -5.20963e-009	              0
           12.7	        9316.33	       0.911062	        0.15708	       0.414181	   -9.0915e-009	  -2.03669e-010	   -5.2059e-009	              0
           12.8	        9316.32	       0.911062	        0.15708	       0.414181	   -2.2662e-008	  -3.55255e-010	  -5.19776e-009	              0
           12.9	        9316.32	       0.911062	        0.15708	       0.414181	   -4.2519e-008	  -5.05484e-010	   -5.1853e-009	              0
             13	        9316.32	       0.911062	        0.15708	       0.414181	  -6.91808e-008	  -6.53768e-010	   -5.1687e-009	              0
           13.1	        9316.32	       0.911062	        0.15708	       0.414181	   -1.0334e-007	  -7.99505e-010	  -5.14817e-009	              0
           13.2	        9316.32	       0.911062	        0.15708	        0.41418	  -1.45878e-007	  -9.42084e-010	    -5.124e-009	              0
           13.3	        9316.32	       0.911062	        0.15708	        0.41418	  -1.97883e-007	  -1.08087e-009	  -5.09653e-009	              0
           13.4	        9316.32	       0.911062	        0.15708	        0.41418	  -2.60671e-007	  -1.21521e-009	  -5.06618e-009	              0
           13.5	        9316.32	       0.911062	        0.15708	        0.41418	  -3.35808e-007	  -1.34442e-009	  -5.03343e-009	              0
           13.6	        9316.32	       0.911062	        0.15708	        0.41418	  -4.25131e-007	  -1.46776e-009	  -4.99886e-009	              0
           13.7	        9316.32	       0.911062	        0.15708	        0.41418	  -5.30773e-007	  -1.58446e-009	   -4.9631e-009	              0
           13.8	        9316.31	       0.911062	        0.15708	        0.41418	  -6.55173e-007	  -1.69367e-009	   -4.9269e-009	              0
           13.9	        9316.31	       0.911062	        0.15708	        0.41418	  -8.01089e-007	  -1.79446e-009	  -4.89109e-009	              0
             14	        9316.31	       0.911062	        0.15708	        0.41418	  -9.71575e-007	  -1.88581e-009	   -4.8566e-009	              0
           14.1	        9316.31	       0.911062	        0.15708	        0.41418	  -1.16995e-006	  -1.96655e-009	  -4.82447e-009	              0
           14.2	        9316.31	       0.911062	        0.15708	       0.414179	  -1.39969e-006	  -2.03536e-009	  -4.79585e-009	              0
           14.3	        9316.31	       0.911062	        0.15708	       0.414179	  -1.66429e-006	  -2.09069e-009	  -4.77199e-009	              0
           14.4	         9316.3	       0.911062	        0.15708	       0.414179	  -1.96704e-006	  -2.13078e-009	  -4.75423e-009	              0
           14.5	         9316.3	       0.911062	        0.15708	       0.414179	  -2.31059e-006	  -2.15351e-009	  -4.74398e-009	              0
           14.6	         9316.3	       0.911062	        0.15708	       0.414179	  -2.69652e-006	  -2.15642e-009	  -4.74265e-009	              0
           14.7	        9316.29	       0.911062	        0.15708	       0.414179	  -3.12459e-006	  -2.13664e-009	   -4.7516e-009	              0
           14.8	        9316.29	       0.911062	        0.15708	       0.414179	  -3.59191e-006	  -2.09081e-009	  -4.77194e-009	              0
           14.9	        9316.28	       0.911062	        0.15708	        0.41418	  -4.09191e-006	  -2.01515e-009	  -4.80438e-009	              0
             15	        9316.28	       0.911062	        0.15708	        0.41418	  -4.61339e-006	  -1.90555e-009	  -4.84889e-009	              0
           15.1	        9316.27	       0.911062	        0.15708	        0.41418	  -5.13967e-006	  -1.75787e-009	  -4.90436e-009	              0
           15.2	        9316.26	       0.911062	        0.15708	       0.414181	  -5.64833e-006	  -1.56847e-009	  -4.96818e-009	              0
           15.3	        9316.25	       0.911062	        0.15708	       0.414181	  -6.11199e-006	  -1.33509e-009	  -5.03591e-009	              0
           15.4	        9316.24	       0.911062	        0.15708	       0.414182	  -6.50037e-006	  -1.05804e-009	  -5.10132e-009	              0
           15.5	        9316.23	       0.911062	        0.15708	       0.414182	  -6.78393e-006	  -7.41456e-010	  -5.15685e-009	              0
           15.6	        9316.22	       0.911062	        0.15708	       0.414183	  -6.93857e-006	  -3.94123e-010	  -5.19496e-009	              0
           15.7	        9316.21	       0.911062	        0.15708	       0.414183	  -6.95018e-006	  -2.93055e-011	   -5.2098e-009	              0
